"filename", "language", "JSON with Comments", "JSON", "JavaScript", "Markdown", "TypeScript React", "CSS", "Python", "HTML", "LaTeX", "comment", "blank", "total"
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\routes\auth.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\routes\login.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\routes\logout.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\routes\refresh.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\routes\register.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\routes\reset-password.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\routes\resetPasswordConfirmation.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\routes\root.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\routes\testEmail.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 3, 8
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\routes\userChangePassword.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\server.js", "JavaScript", 0, 0, 151, 0, 0, 0, 0, 0, 0, 24, 49, 224
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\word.js", "JavaScript", 0, 0, 2318, 0, 0, 0, 0, 0, 0, 0, 2, 2320
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\App.js", "JavaScript", 0, 0, 60, 0, 0, 0, 0, 0, 0, 112, 45, 217
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\api\axios.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\Header.tsx", "TypeScript React", 0, 0, 0, 0, 66, 0, 0, 0, 0, 51, 32, 149
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\auth\Login.js", "JavaScript", 0, 0, 98, 0, 0, 0, 0, 0, 0, 85, 22, 205
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\auth\Register.js", "JavaScript", 0, 0, 188, 0, 0, 0, 0, 0, 0, 3, 25, 216
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\auth\RequireAuth.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\auth\confirmPwd.js", "JavaScript", 0, 0, 126, 0, 0, 0, 0, 0, 0, 4, 23, 153
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\auth\resetPassword.js", "JavaScript", 0, 0, 72, 0, 0, 0, 0, 0, 0, 2, 13, 87
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\context\AuthProvider.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\game\Tile.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 6, 16
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\game\eventbus.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\game\game.css", "CSS", 0, 0, 0, 0, 0, 239, 0, 0, 0, 0, 38, 277
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\game\game.js", "JavaScript", 0, 0, 204, 0, 0, 0, 0, 0, 0, 12, 23, 239
